title,links,status,lastChecked,type,accountNeeded,date
Surface and Structure: Transcribing Intonation within and across Languages,http://dx.doi.org/10.5334/labphon.10.smo,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
Talker and background noise specificity in spoken word recognition memory,NA,NA,2020-10-03,NA,NA,2017-11-21
Templaticity Effects on Differential Processing of Consonants and Vowels,NA,NA,2020-10-03,NA,NA,2019-10-17
The Distribution of Talker Variability Impacts Infants’ Word Learning,NA,NA,2020-10-03,NA,NA,2017-01-05
The gradient influence of temporal extent of coarticulation on vowel and speaker perception,NA,NA,2020-10-03,NA,NA,2018-08-06
The imitation of coarticulatory timing patterns in consonant clusters for phonotactically familiar and unfamiliar sequences,NA,NA,2020-10-03,NA,NA,2020-01-24
The Importance of a Distributional Approach to Categoriality in Autosegmental-Metrical Accounts of Intonation,http://dx.doi.org/10.5334/labphon.28.wav2a,alive,2020-10-03,soundfile,NA,2016-06-30
The Importance of a Distributional Approach to Categoriality in Autosegmental-Metrical Accounts of Intonation,http://dx.doi.org/10.5334/ labphon.28.wav2b,alive,2020-10-03,soundfile,NA,2016-06-30
The Importance of a Distributional Approach to Categoriality in Autosegmental-Metrical Accounts of Intonation,http://dx.doi.org/10.5334/labphon.28.wav2c,alive,2020-10-03,soundfile,NA,2016-06-30
The Importance of a Distributional Approach to Categoriality in Autosegmental-Metrical Accounts of Intonation,http://dx.doi.org/10.5334/labphon.28.smo,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
The Importance of a Distributional Approach to Categoriality in Autosegmental-Metrical Accounts of Intonation,http://www.coli.uni-saarland.de/groups/WB/Phonetics/contents/phonus-pdf/phonus1/BarryPuetzer_PHONUS1.ps.gz,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
"The interplay of information structure, semantics, prosody, and word ordering in Spanish intransitives",NA,NA,2020-10-03,NA,NA,2018-05-25
The Interpretation of Prosodic Variability in the Context of Accompanying Sociophonetic Cues,https://doi.org/10.5334/labphon.92.s1,alive,2020-10-03,soundfile,NA,2017-05-04
The phonetics and phonology of lenition: A Campidanese Sardinian case study,https://doi.org/10.5334/labphon.184.s1,alive,2020-10-03,data/scripts/tutorials/software,NA,2019-09-26
The role of duration in the perception of vowel merger,NA,NA,2020-10-03,NA,NA,2017-12-13
The role of intonation and visual cues in the perception of sentence types: Evidence from European Portuguese varieties,NA,NA,2020-10-03,NA,NA,2017-09-11
The role of native phonology in spontaneous imitation: Evidence from Seoul Korean,NA,NA,2020-10-03,NA,NA,2019-06-14
The role of vowel length and glottalization in German learners’ perception of the English coda stop voicing contrast,https://www.lingoa.eu/,alive,2020-10-03,irrelevant/miscellaneous,NA,2019-10-24
The singleton-geminate distinction can be rate dependent: Evidence from Maltese,NA,NA,2020-10-03,NA,NA,2018-04-27
The VOT Category Boundary in Word-Initial Stops: Counter-Evidence Against Rate Normalization in English Spontaneous Speech,http://www.bbc.co.uk/radio3,alive,2020-10-03,irrelevant/miscellaneous,NA,2016-10-07
The VOT Category Boundary in Word-Initial Stops: Counter-Evidence Against Rate Normalization in English Spontaneous Speech,http://www.collinsdictionary.com/dictionary/english,alive,2020-10-03,irrelevant/miscellaneous,NA,2016-10-07
The ΔF method of vocal tract length normalization for vowels,NA,NA,2020-10-03,NA,NA,2020-07-22
Thematic role predictability and planning affect word duration,http://jaapstimuli.web.unc.edu/,alive,2020-10-03,data/scripts/tutorials/software,NA,2017-07-17
Thematic role predictability and planning affect word duration,http://jaapstimuli.web.unc.edu/,alive,2020-10-03,data/scripts/tutorials/software,NA,2017-07-17
Towards an International Prosodic Alphabet (IPrA),http://dx.doi.org/10.5334/labphon.11.wav4a,alive,2020-10-03,soundfile,NA,2016-06-30
Towards an International Prosodic Alphabet (IPrA),http://dx.doi.org/10.5334/labphon.11.wav4b,alive,2020-10-03,soundfile,NA,2016-06-30
Towards an International Prosodic Alphabet (IPrA),http://dx.doi.org/10.5334/labphon.11.wav5a,alive,2020-10-03,soundfile,NA,2016-06-30
Towards an International Prosodic Alphabet (IPrA),http://dx.doi.org/10.5334/labphon.11.wav5b,alive,2020-10-03,soundfile,NA,2016-06-30
Towards an International Prosodic Alphabet (IPrA),http://dx.doi.org/10.5334/labphon.11.smo,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
Towards an International Prosodic Alphabet (IPrA),http://www.linguistics.ucla.edu/ipra_workshop/Proposals.htm,dead,2020-10-03,NA,NA,2016-06-30
Towards an International Prosodic Alphabet (IPrA),http://www.speech.cs.cmu.edu/tobi/ToBI.1.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
Using naïve listener imitations of native speaker productions to investigate mechanisms of listener-based sound change,NA,NA,2020-10-03,NA,NA,2018-12-12
Using Rapid Prosody Transcription to probe little-known prosodic systems: The case of Papuan Malay,NA,NA,2020-10-03,NA,NA,2020-07-01
Variation in children’s vowel production: Effects of language exposure and lexical frequency,https://www.shutterstock.com/,alive,2020-10-03,irrelevant/miscellaneous,NA,2019-05-22
Vocalic activation width decreases across childhood: Evidence from carryover coarticulation,NA,NA,2020-10-03,NA,NA,2020-06-18
West African languages enrich the frequency code: Multi-functional pitch and multi-dimensional prosody in Ikaan polar questions,NA,NA,2020-10-03,NA,NA,2017-06-07
What happens to large changes? Saltation produces well-liked outputs that are hard to generate,http://sporepedia.com/,dead,2020-10-03,NA,NA,2018-06-25
Whence the fuzziness? Morphological effects in interacting sound changes in Southern British English,NA,NA,2020-10-03,NA,NA,2017-04-05
