title,links,status,lastChecked,type,accountNeeded,date
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav9b,alive,2020-10-03,soundfile,NA,2016-06-30
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav11a,alive,2020-10-03,soundfile,NA,2016-06-30
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav11b,alive,2020-10-03,soundfile,NA,2016-06-30
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx19a,alive,2020-10-03,soundfile,NA,2016-06-30
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx19b,alive,2020-10-03,soundfile,NA,2016-06-30
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx20a,alive,2020-10-03,soundfile,NA,2016-06-30
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx20b,alive,2020-10-03,soundfile,NA,2016-06-30
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx21a,alive,2020-10-03,soundfile,NA,2016-06-30
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx21b,alive,2020-10-03,soundfile,NA,2016-06-30
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.smo,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
Analytical Decisions in Intonation Research and the Role of Representations: Lessons from Romani,http://creativecommons.org/licenses/by-sa/3.0,alive,2020-10-03,irrelevant/miscellaneous,NA,2016-06-30
Analytical Decisions in Intonation Research and the Role of Representations: Lessons from Romani,http://lingweb.eva.mpg.de/ids/,dead,2020-10-03,NA,NA,2016-06-30
Analytical Decisions in Intonation Research and the Role of Representations: Lessons from Romani,http://dx.doi.org/10.5334/labphon.14.wav2,alive,2020-10-03,soundfile,NA,2016-06-30
Analytical Decisions in Intonation Research and the Role of Representations: Lessons from Romani,http://dx.doi.org/10.5334/labphon.14.wav3,alive,2020-10-03,soundfile,NA,2016-06-30
Analytical Decisions in Intonation Research and the Role of Representations: Lessons from Romani,http://dx.doi.org/10.5334/labphon.14.wav4,alive,2020-10-03,soundfile,NA,2016-06-30
